"","Y01","Y02","Y03","Y04","Y05","Y06","Y07","Y08","Y09","Y10","Y11","Y12","Y13","Y14","Y15"
"otu7254",0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
"otu5628",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu11971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"otu8896",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"otu8915",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"otu13040",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"otu5963",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"otu14378",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"otu15712",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"otu14743",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"otu9603",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"otu8009",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"otu7326",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"otu6654",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"otu5412",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"otu11386",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"otu7760",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu3461",0,0,0,0,1,0,1,0,0,0,0,1,0,1,5
"otu11652",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"otu16368",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu9300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"otu9441",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"otu4586",0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
"otu5613",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu12678",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"otu5932",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"otu7098",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu9878",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"otu11393",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"otu6270",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"otu10192",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"otu7854",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu11538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"otu11547",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"otu7365",1,0,0,0,0,0,0,0,0,2,0,0,0,1,0
"otu4664",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"otu9675",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"otu6415",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"otu16022",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu10286",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"otu7416",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"otu11478",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"otu3410",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"otu7163",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu2893",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu11954",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"otu8762",0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
"otu4807",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"otu11280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"otu10816",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"otu13948",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu4675",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"otu9433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"otu3193",0,0,0,2,1,0,0,1,0,0,0,1,0,2,1
"otu4951",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"otu15325",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"otu7601",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu5994",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"otu11261",0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"otu14804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"otu16267",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu9314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"otu8001",0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
"otu9876",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"otu10163",0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
"otu12409",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"otu8060",0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"otu4852",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"otu4778",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"otu8157",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"otu13499",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"otu7125",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"otu2976",0,0,0,0,0,0,1,0,0,0,0,1,0,2,0
"otu7162",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"otu9371",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"otu13465",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu4735",0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
"otu15641",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"otu8686",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"otu8454",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"otu11597",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"otu7144",0,0,0,0,1,0,0,0,0,0,0,0,0,2,1
"otu7450",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"otu11937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
